diameter,center_lon,center_lat,counted on,VID,sfs_depth,d/D,age,x,y,radius (m)
8.848013070527987,30.44510558396558,-85.50908026961736,sfs,,0.4273710213274171,0.048,59000000,-2793.693577136605,-2703.1267209547877,4.4240065352639935
4.133995868754398,30.44192794912973,-85.50930820558963,sfs,,0.2279763134820314,0.055,21000000,-2801.094947505396,-2710.1917180776745,2.066997934377199
5.662336874848599,30.43639293313027,-85.51000611429902,sfs,,0.27444579700386385,0.048,40000000,-2813.7971471384985,-2731.6205578459526,2.8311684374242994
4.086715624882418,30.439925750762214,-85.51003863548937,sfs,,0.2506056720749257,0.061,17000000,-2805.392211838873,-2732.4338058980316,2.043357812441209
10.226732954498653,30.442979495353907,-85.51018050150341,sfs,,0.5116748848095085,0.05,68000000,-2798.0563869329326,-2736.585898348537,5.113366477249326
8.176455650173454,30.43883575235104,-85.51027058936951,sfs,,0.4288659866388116,0.052,59000000,-2807.8344001482483,-2739.5191713829267,4.088227825086727
6.607046103171518,30.423170104942002,-85.51064274504189,sfs,,0.3596908643921779,0.054,46000000,-2844.7770589887755,-2751.572113439827,3.303523051585759
6.25003414901531,30.42617338649267,-85.51064470967313,sfs,,0.29342583422931057,0.047,46000000,-2837.648985730573,-2751.483212464751,3.125017074507655
4.894870592139084,30.424602947754135,-85.5104695431179,sfs,,0.27158221691024664,0.055,29000000,-2841.486292391542,-2746.250306613494,2.447435296069542
11.014455405654124,30.415016240416172,-85.51021373624042,sfs,,0.5642474566566307,0.051,81000000,-2864.3993904846857,-2738.9709308055026,5.507227702827062
12.424630816735661,30.422843401285558,-85.50867593686154,sfs,,0.48879304619913455,0.039,81000000,-2846.7963522544133,-2691.9609714488424,6.2123154083678305
4.576163126179154,30.41401111709404,-85.5089223339974,sfs,,0.20336457742723724,0.044,35000000,-2867.6076203589973,-2699.8699962037085,2.288081563089577
7.628368340230515,30.42697747405724,-85.50793764019437,sfs,,0.4744289813024807,0.062,53000000,-2837.447211020157,-2669.3737424190554,3.8141841701152575
8.853735615788374,30.420345600043063,-85.50777216177153,sfs,,0.45262657117200433,0.051,59000000,-2853.299093004839,-2664.6852813913747,4.426867807894187
4.487555216003468,30.418577327088357,-85.50750726932318,sfs,,0.1727378519863123,0.038,35000000,-2857.666044163033,-2656.7424527049575,2.243777608001734
8.61499236790361,30.410087860574855,-85.50816406170118,sfs,,0.21517422804117814,0.025,59000000,-2877.4058012404785,-2677.077778838714,4.307496183951805
4.352126458903543,30.409087116481377,-85.50757563966275,sfs,,0.23411317044883617,0.054,22000000,-2880.158328465235,-2659.288920934848,2.1760632294517714
4.671291901126328,30.448085265762824,-85.50913845070792,sfs,,0.20507541829101683,0.044,35000000,-2786.58420908535,-2704.7459522251065,2.335645950563164
6.694067112940646,30.439846051721034,-85.50645168763859,sfs,,0.6111128849379384,0.091,2000000,-2807.817964963263,-2623.692281911461,3.347033556470323
5.482674728146349,30.442696436387166,-85.50560726254976,sfs,,0.30681085210289893,0.056,37000000,-2801.5728770358905,-2597.9527612625,2.7413373640731744
5.378037779894212,30.39272556687206,-85.5077481614872,sfs,,0.1798636194844221,0.033,40000000,-2918.8988124445273,-2665.344592762191,2.689018889947106
7.287973263952459,30.388537248237753,-85.50842845585123,sfs,,0.2453319255128008,0.034,53000000,-2928.4014277651836,-2686.181741103843,3.6439866319762295
3.607284991637005,30.3517273003415,-85.50891464489017,sfs,,0.12222491408283531,0.034,26000000,-3015.4674843500984,-2702.824503592402,1.8036424958185024
4.982756289495892,30.332892715981153,-85.50776431039668,sfs,,0.13458627111867827,0.027,35000000,-3060.9602120944787,-2668.946714655783,2.491378144747946
